2023-08-18 01:18:37 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2973dce7-4fed-3bbe-a4ec-bdc8ab8f00af
2023-08-18 01:18:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8183 (http)
2023-08-18 01:18:37 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8183"]
2023-08-18 01:18:37 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-18 01:18:37 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-08-18 01:18:37 [main] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring embedded WebApplicationContext
2023-08-18 01:18:37 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2076 ms
2023-08-18 01:18:39 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-08-18 01:18:39 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api-docs']
2023-08-18 01:18:39 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@341ccfd1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5bde6148, org.springframework.security.web.context.SecurityContextPersistenceFilter@246df37b, org.springframework.security.web.header.HeaderWriterFilter@4c8d45cf, org.springframework.security.web.authentication.logout.LogoutFilter@6cd7f381, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@67c0c90b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c56eba5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3c4059a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3cead673, org.springframework.security.web.session.SessionManagementFilter@2fd4312a, org.springframework.security.web.access.ExceptionTranslationFilter@df9d400, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1fa98a22]
2023-08-18 01:18:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8183"]
2023-08-18 01:18:40 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8183 (http) with context path '/elastic-query-service'
2023-08-18 01:18:40 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 13.214 seconds (JVM running for 14.281)
